urllib3.connectionpool:DEBUG:2022-10-19 17:47:17,566:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:47:18,133:https://www.amazon.com:443 "GET /SanDisk-2TB-Extreme-Portable-SDSSDE81-2T00-G25/dp/B08GV4YYV7?th=1 HTTP/1.1" 200 None
werkzeug:INFO:2022-10-19 17:47:46,237:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
werkzeug:INFO:2022-10-19 17:47:46,237:[33mPress CTRL+C to quit[0m
werkzeug:INFO:2022-10-19 17:47:46,238: * Restarting with stat
urllib3.connectionpool:DEBUG:2022-10-19 17:47:48,347:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:47:48,789:https://www.amazon.com:443 "GET /SanDisk-2TB-Extreme-Portable-SDSSDE81-2T00-G25/dp/B08GV4YYV7?th=1 HTTP/1.1" 200 None
werkzeug:WARNING:2022-10-19 17:48:16,905: * Debugger is active!
werkzeug:INFO:2022-10-19 17:48:16,924: * Debugger PIN: 123-424-637
werkzeug:INFO:2022-10-19 17:48:42,128:127.0.0.1 - - [19/Oct/2022 17:48:42] "GET /begin_crawl HTTP/1.1" 200 -
urllib3.connectionpool:DEBUG:2022-10-19 17:48:54,609:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:48:55,757:https://www.amazon.com:443 "GET /s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A667846011%2Cn%3A172563%2Cn%3A3236453011&dc&ds=v1%3AkKPTlIlAMSfbOpQLhDhvz4Hv1mlYpGT9OrTBQR9h6DI&qid=1664985358&rnid=172563&page=1&ref=sr_pg_1 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-19 17:48:56,522:Starting new HTTPS connection (1): www.amazon.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:48:57,814:https://www.amazon.com:443 "GET /s?i=electronics-intl-ship&bbn=16225009011&rh=n%3A667846011%2Cn%3A172563%2Cn%3A3236453011&dc&ds=v1%3AkKPTlIlAMSfbOpQLhDhvz4Hv1mlYpGT9OrTBQR9h6DI&qid=1664985358&rnid=172563&page=2&ref=sr_pg_2 HTTP/1.1" 200 None
urllib3.connectionpool:DEBUG:2022-10-19 17:49:11,628:Starting new HTTPS connection (1): www.newegg.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:49:12,835:https://www.newegg.com:443 "GET /p/pl?d=high+power+audio+300w+sound+tower HTTP/1.1" 200 31165
urllib3.connectionpool:DEBUG:2022-10-19 17:49:12,984:Starting new HTTPS connection (1): www.newegg.com:443
urllib3.connectionpool:DEBUG:2022-10-19 17:49:14,261:https://www.newegg.com:443 "GET /p/pl?d=high+power+audio+300w+sound+tower&page=1 HTTP/1.1" 200 31171
